Updated,Type,Module,Source,F/P,Data
2024-05-12 01:59:29,SIMILARDOMAIN_WHOIS,sfp_whois,googleusercontent.my.id,0,"
ID ccTLD whois server
Please see 'whois -h whois.id help' for usage.

Domain ID: PANDI-DO6475474
Domain Name: googleusercontent.my.id
Created On: 2022-05-10 08:30:07
Last Updated On: 2024-05-09 06:14:01 
Expiration Date: 2025-05-10 23:59:59 
Status: ok

====================================================
Sponsoring Registrar Organization: PT Cloud Hosting Indonesia
Sponsoring Registrar URL: https://idcloudhost.co.id
Sponsoring Registrar Street: Sentral Senayan 2 lt. 16  
Sponsoring Registrar City: Jakarta Pusat
Sponsoring Registrar State/Province: DKI Jakarta
Sponsoring Registrar Postal Code: 10270
Sponsoring Registrar Country: ID
Sponsoring Registrar Phone: 02140000995
Sponsoring Registrar Email: care@idcloudhost.co.id
Name Server: autumn.ns.cloudflare.com
Name Server: rob.ns.cloudflare.com
DNSSEC: Unsigned

Abuse Domain Report https://pandi.id/domain-abuse-form/?lang=en
For more information on Whois status codes, please visit https://www.icann.org/resources/pages/epp-status-codes-2014-06-16-en
"
2024-05-12 02:01:10,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,cisouthwest.co.uk,0,"
    Domain name:
        cisouthwest.co.uk

    Data validation:
        Nominet was able to match the registrant's name and address against a 3rd party data source on 30-Sep-2015

    Registrar:
        Ionos SE [Tag = 1AND1]
        URL: https://ionos.com

    Relevant dates:
        Registered on: 17-Apr-2013
        Expiry date:  17-Apr-2025
        Last updated:  16-Apr-2023

    Registration status:
        Registered until expiry date.

    Name servers:
        ns1120.ui-dns.biz
        ns1120.ui-dns.com
        ns1120.ui-dns.de
        ns1120.ui-dns.org

    WHOIS lookup made at 07:01:08 12-May-2024

-- 
This WHOIS information is provided for free by Nominet UK the central registry
for .uk domain names. This information and the .uk WHOIS are:

    Copyright Nominet UK 1996 - 2024.

You may not access the .uk WHOIS or use any data from it except as permitted
by the terms of use available in full at https://www.nominet.uk/whoisterms,
which includes restrictions on: ("
2024-05-12 01:59:47,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,172nycdental.com,0,"   Domain Name: 172NYCDENTAL.COM
   Registry Domain ID: 2520133936_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.ionos.com
   Registrar URL: http://www.ionos.com
   Updated Date: 2024-04-30T07:26:00Z
   Creation Date: 2020-04-29T17:59:38Z
   Registry Expiry Date: 2025-04-29T17:59:38Z
   Registrar: IONOS SE
   Registrar IANA ID: 83
   Registrar Abuse Contact Email: abuse@ionos.com
   Registrar Abuse Contact Phone: +1.6105601459
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1054.UI-DNS.BIZ
   Name Server: NS1055.UI-DNS.ORG
   Name Server: NS1067.UI-DNS.DE
   Name Server: NS1074.UI-DNS.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2024-05-12T05:59:31Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the "
2024-05-12 01:59:58,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agwarranty.com,0,"   Domain Name: AGWARRANTY.COM
   Registry Domain ID: 6478715_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-03-17T17:56:12Z
   Creation Date: 1999-05-12T21:29:50Z
   Registry Expiry Date: 2025-05-12T21:30:24Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1417.AWSDNS-49.ORG
   Name Server: NS-1890.AWSDNS-44.CO.UK
   Name Server: NS-76.AWSDNS-09.COM
   Name Server: NS-982.AWSDNS-58.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complai"
2024-05-12 02:00:05,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agws.com,0,"   Domain Name: AGWS.COM
   Registry Domain ID: 3162230_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-01-23T14:02:36Z
   Creation Date: 1999-01-22T05:00:00Z
   Registry Expiry Date: 2026-01-22T05:00:00Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1067.AWSDNS-05.ORG
   Name Server: NS-1664.AWSDNS-16.CO.UK
   Name Server: NS-280.AWSDNS-35.COM
   Name Server: NS-872.AWSDNS-45.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Fo"
2024-05-12 02:00:13,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agwsinc.com,0,"   Domain Name: AGWSINC.COM
   Registry Domain ID: 1521542756_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-03-17T17:56:10Z
   Creation Date: 2008-09-26T17:45:36Z
   Registry Expiry Date: 2028-09-26T17:45:36Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1201.AWSDNS-22.ORG
   Name Server: NS-1693.AWSDNS-19.CO.UK
   Name Server: NS-178.AWSDNS-22.COM
   Name Server: NS-901.AWSDNS-48.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Compla"
2024-05-12 02:00:22,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agwsinc.net,0,"   Domain Name: AGWSINC.NET
   Registry Domain ID: 1521542755_DOMAIN_NET-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-03-17T17:56:13Z
   Creation Date: 2008-09-26T17:45:36Z
   Registry Expiry Date: 2028-09-26T17:45:36Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1214.AWSDNS-23.ORG
   Name Server: NS-1683.AWSDNS-18.CO.UK
   Name Server: NS-228.AWSDNS-28.COM
   Name Server: NS-796.AWSDNS-35.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Compla"
2024-05-12 02:00:35,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agwsreviews.com,0,"   Domain Name: AGWSREVIEWS.COM
   Registry Domain ID: 2500339470_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2024-03-06T18:16:31Z
   Creation Date: 2020-03-05T22:35:42Z
   Registry Expiry Date: 2025-03-05T22:35:42Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1521.AWSDNS-62.ORG
   Name Server: NS-1771.AWSDNS-29.CO.UK
   Name Server: NS-402.AWSDNS-50.COM
   Name Server: NS-911.AWSDNS-49.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Co"
2024-05-12 02:00:41,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agwssalescontest.com,0,"   Domain Name: AGWSSALESCONTEST.COM
   Registry Domain ID: 2145617793_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-07-24T22:45:08Z
   Creation Date: 2017-07-21T23:34:49Z
   Registry Expiry Date: 2025-07-21T23:34:49Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1.AWSDNS-00.COM
   Name Server: NS-1309.AWSDNS-35.ORG
   Name Server: NS-1954.AWSDNS-52.CO.UK
   Name Server: NS-689.AWSDNS-22.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy"
2024-05-12 02:00:47,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,agwsu.com,0,"   Domain Name: AGWSU.COM
   Registry Domain ID: 1817741213_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-03-17T17:56:17Z
   Creation Date: 2013-07-26T14:27:47Z
   Registry Expiry Date: 2024-07-26T14:27:47Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1335.AWSDNS-38.ORG
   Name Server: NS-1696.AWSDNS-20.CO.UK
   Name Server: NS-221.AWSDNS-27.COM
   Name Server: NS-727.AWSDNS-26.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complain"
2024-05-12 02:01:02,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,builditflorida.com,0,"   Domain Name: BUILDITFLORIDA.COM
   Registry Domain ID: 1775171723_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-01-03T14:20:54Z
   Creation Date: 2013-01-21T20:54:55Z
   Registry Expiry Date: 2025-01-02T11:59:59Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS15.DOMAINCONTROL.COM
   Name Server: NS16.DOMAINCONTROL.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois datab"
2024-05-12 02:01:20,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,cleansuitedorm.com,0,"   Domain Name: CLEANSUITEDORM.COM
   Registry Domain ID: 2571388762_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2023-11-13T16:44:15Z
   Creation Date: 2020-11-09T22:13:18Z
   Registry Expiry Date: 2024-11-09T22:13:18Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS-1236.AWSDNS-26.ORG
   Name Server: NS-1621.AWSDNS-10.CO.UK
   Name Server: NS-236.AWSDNS-29.COM
   Name Server: NS-704.AWSDNS-24.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy"
